artist,listeners,in_chart,chart_weeks,total_streams,best_position
The Script,2948373,True,5.0,45475135.0,106.0
Sleeping With Sirens,1165264,False,0.0,0.0,
Steely Dan,1747762,False,0.0,0.0,
BROCKHAMPTON,1657544,False,0.0,0.0,
"Earth, Wind & Fire",2910579,False,0.0,0.0,
Phantogram,1912973,False,0.0,0.0,
Freddie Gibbs,1278766,False,0.0,0.0,
Tool,2591971,False,0.0,0.0,
No Doubt,3558092,False,0.0,0.0,
Givēon,688767,False,0.0,0.0,
Lil Nas X,2616138,True,1.0,7982786.0,160.0
Lykke Li,3106961,False,0.0,0.0,
George Harrison,2440715,False,0.0,0.0,
Bob Marley & The Wailers,3444910,True,1.0,8628041.0,176.0
Ne-Yo,3316511,True,17.0,164880620.0,96.0
Pantera,2591476,False,0.0,0.0,
Chevelle,1803654,False,0.0,0.0,
Nas,3350826,False,0.0,0.0,
ATEEZ,789322,False,0.0,0.0,
boygenius,1133239,False,0.0,0.0,
The Doors,4700836,False,0.0,0.0,
Wiz Khalifa,3851111,True,11.0,96927069.0,85.0
G-Eazy,2040036,True,1.0,9062118.0,191.0
Toby Fox,1182616,False,0.0,0.0,
Elvis Presley,4458537,True,2.0,71359136.0,34.0
Jhené Aiko,1366120,False,0.0,0.0,
Audioslave,3278308,False,0.0,0.0,
Ghost,1615258,False,0.0,0.0,
R.E.M.,4333332,False,0.0,0.0,
All Time Low,2543992,False,0.0,0.0,
KiiiKiii,215726,False,0.0,0.0,
Kylie Minogue,3504437,False,0.0,0.0,
Omar Apollo,1457185,False,0.0,0.0,
Sleep Token,824267,True,1.0,9652861.0,127.0
Portishead,3273692,False,0.0,0.0,
Bad Omens,771882,False,0.0,0.0,
OsamaSon,427129,False,0.0,0.0,
Agust D,830721,True,1.0,40794132.0,21.0
Surf Curse,1979505,True,2.0,19489549.0,133.0
Rage Against the Machine,4219440,False,0.0,0.0,
B.o.B,3154864,True,1.0,9402054.0,145.0
i-dle,475522,True,3.0,27341456.0,110.0
Aerosmith,4687407,False,0.0,0.0,
DJ Khaled,2835151,False,0.0,0.0,
Chris Isaak,2015168,False,0.0,0.0,
Labrinth,2508265,True,1.0,11271405.0,71.0
Jason Derulo,3080732,False,0.0,0.0,
Toto,3049325,True,13.0,115588083.0,108.0
Creed,2417322,False,0.0,0.0,
Lit,1284456,False,0.0,0.0,
Kelly Clarkson,4475094,True,6.0,181179499.0,9.0
CORTIS,405439,False,0.0,0.0,
Thee Sacred Souls,1162267,False,0.0,0.0,
Falling in Reverse,1347128,False,0.0,0.0,
Natasha Bedingfield,2959071,True,15.0,185922446.0,16.0
Bruce Springsteen,3546912,True,2.0,37212549.0,43.0
